url_length,dot_count,slash_count,dash_count,underscore_count,at_count,equal_count,is_https,domain_length,path_length,type
66,2,6,1,0,0,0,0,18,41,bad
124,2,4,0,0,0,1,1,15,11,good
205,2,3,1,2,0,7,1,14,7,good
34,3,3,0,0,0,0,1,25,1,bad
31,2,3,1,0,0,0,1,22,1,bad
44,2,5,1,0,0,0,1,17,19,good
42,3,2,1,0,0,0,0,35,0,bad
33,2,3,1,0,0,0,1,24,1,bad
72,2,7,0,0,0,0,1,15,10,good
128,4,3,7,0,0,0,1,76,44,bad
46,3,4,0,0,0,0,1,21,17,bad
175,2,7,4,2,0,3,1,15,108,bad
97,3,5,0,0,0,0,1,23,66,bad
126,3,4,0,11,0,3,1,16,13,good
126,4,3,9,0,0,0,1,87,31,bad
224,3,3,0,2,0,10,1,14,7,good
86,2,5,1,0,0,0,1,11,67,bad
54,2,3,1,0,0,0,1,45,1,bad
35,2,4,0,0,0,0,1,16,11,good
46,3,3,0,0,0,0,1,26,12,good
88,2,7,0,0,0,1,1,15,10,good
48,2,3,1,0,0,0,1,39,1,bad
51,2,3,2,0,0,0,1,42,1,bad
91,2,3,1,0,0,3,1,15,6,good
141,2,9,4,0,0,0,1,10,123,good
52,2,6,0,0,0,0,1,13,31,bad
42,2,4,0,0,0,0,1,15,19,good
23,1,3,0,0,0,0,1,6,9,bad
20,1,3,1,0,0,0,1,11,1,bad
34,2,3,1,0,0,0,1,25,1,bad
39,2,4,1,0,0,0,1,16,15,bad
38,3,4,0,0,0,0,0,21,10,bad
111,4,5,0,0,0,0,1,23,80,bad
63,3,3,1,0,0,0,1,43,12,bad
37,1,3,0,0,0,0,0,29,1,bad
120,3,4,1,0,0,1,1,16,22,good
93,3,6,5,0,0,0,1,55,30,bad
85,3,3,1,0,0,0,1,76,1,bad
58,1,4,0,0,0,2,1,15,17,good
88,3,2,0,0,0,0,1,80,0,bad
28,1,3,0,0,0,0,1,11,9,bad
84,3,2,1,0,0,0,1,76,0,bad
42,2,4,0,0,0,0,1,15,19,good
47,2,5,0,0,0,0,1,16,23,bad
43,2,3,0,0,0,1,1,15,6,good
37,1,3,1,0,0,0,1,9,20,good
468,4,5,14,2,0,7,1,19,26,good
468,4,5,14,2,0,7,1,19,26,good
35,2,3,1,0,0,0,1,26,1,bad
44,2,5,0,0,0,0,1,17,19,good
97,1,5,1,0,0,0,1,19,70,bad
57,1,5,1,0,0,0,1,9,40,good
62,3,3,1,0,0,0,1,43,11,bad
32,2,4,0,0,0,0,1,9,15,good
67,2,3,0,0,0,4,1,20,1,good
113,2,7,3,0,0,1,1,16,68,good
38,2,6,0,0,0,0,1,15,10,good
23,1,3,0,0,0,0,1,14,1,bad
67,2,5,4,0,0,0,1,16,42,good
42,2,4,0,1,0,0,1,15,19,good
115,2,8,5,0,0,0,1,16,91,good
30,2,3,0,0,0,0,1,21,1,bad
113,2,8,5,0,0,0,1,16,89,good
46,1,3,0,0,0,0,1,13,25,bad
37,1,4,0,0,0,0,1,11,18,good
336,2,3,1,2,0,10,1,14,7,good
99,2,7,1,2,0,0,1,15,76,bad
112,2,6,1,2,0,0,1,17,87,bad
76,2,5,4,0,0,0,1,16,52,good
71,1,4,1,0,0,0,1,11,52,bad
83,3,3,0,0,0,0,1,74,1,bad
107,4,3,3,0,0,2,1,22,1,good
92,2,3,1,1,0,3,1,15,6,good
85,3,3,1,0,0,0,1,76,1,bad
71,2,6,0,0,0,0,1,17,46,good
126,1,6,9,0,0,2,1,12,60,good
25,1,3,0,0,0,0,1,6,11,bad
41,2,4,1,0,0,0,1,16,17,bad
89,2,7,6,0,0,0,1,16,65,good
48,3,3,1,0,0,0,1,39,1,bad
40,1,4,1,0,0,0,1,10,22,good
53,3,3,2,0,0,0,1,44,1,bad
42,2,4,1,0,0,0,1,15,19,good
26,2,3,0,0,0,0,1,17,1,bad
48,2,5,0,0,0,0,1,24,15,bad
208,1,4,4,0,0,0,1,13,186,good
167,2,7,4,1,0,3,1,15,108,bad
83,2,4,1,4,0,0,1,21,54,good
43,2,5,0,0,0,0,1,16,19,bad
83,2,3,0,0,0,2,1,15,6,good
376,2,3,0,2,0,7,1,13,5,good
172,2,9,5,0,0,0,1,10,154,good
109,4,3,1,0,0,0,1,76,25,bad
62,3,3,1,0,0,0,1,43,11,bad
84,2,7,3,0,0,0,1,16,60,good
88,3,2,0,0,0,0,1,80,0,bad
270,3,3,0,2,0,11,1,14,7,good
25,1,2,0,0,0,0,0,18,0,bad
36,2,3,1,0,0,0,1,27,1,bad
32,1,3,0,0,0,0,1,16,8,good
51,3,4,0,0,0,0,1,21,22,bad
92,2,3,1,1,0,3,1,15,6,good
64,1,7,1,0,0,0,1,21,35,bad
42,2,4,1,0,0,0,1,15,19,good
61,3,3,1,0,0,0,1,43,10,bad
64,2,6,0,1,0,0,1,17,39,good
67,3,3,1,0,0,0,1,43,16,bad
521,4,5,14,3,0,6,1,19,26,good
43,2,3,0,1,0,1,1,15,6,good
373,1,6,9,0,0,0,1,16,348,good
37,2,3,0,0,0,0,1,28,1,bad
71,1,4,1,0,0,0,1,11,52,bad
72,2,4,3,0,0,0,1,14,50,good
61,2,5,1,0,0,0,1,14,39,good
175,2,7,4,3,0,1,1,15,75,good
90,2,3,1,0,0,2,1,25,5,good
470,11,7,1,3,0,8,1,19,36,good
87,2,3,0,0,0,4,1,20,1,good
72,2,6,0,0,0,0,1,17,47,good
26,2,3,1,0,0,0,1,17,1,bad
100,1,7,0,1,0,0,1,9,83,good
27,1,4,0,0,0,0,0,14,6,bad
25,1,2,1,0,0,0,0,18,0,bad
35,2,3,1,0,0,0,1,26,1,bad
20,1,3,0,0,0,0,1,4,8,bad
130,1,9,2,0,0,0,1,12,110,bad
39,2,3,3,0,0,0,1,30,1,bad
77,2,7,1,0,0,1,1,17,48,good
68,2,6,0,2,0,0,1,17,43,good
28,2,3,1,0,0,0,0,13,8,bad
29,2,3,0,0,0,0,1,20,1,good
27,2,3,0,0,0,0,1,18,1,bad
27,1,3,0,0,0,0,1,18,1,bad
84,2,3,0,0,0,4,1,20,1,good
61,2,7,0,0,0,0,1,21,32,bad
29,2,3,0,0,0,0,1,16,1,bad
82,3,4,0,1,0,2,1,16,11,good
61,1,6,2,0,0,0,1,10,43,good
37,2,3,1,0,0,0,1,28,1,bad
44,2,5,0,0,0,0,1,17,19,good
37,1,4,0,0,0,0,1,11,18,good
44,2,5,0,0,0,0,1,17,19,good
72,1,8,1,0,0,0,1,20,44,bad
97,3,5,0,0,0,0,1,23,66,bad
103,2,7,0,1,0,0,1,15,80,good
409,12,6,1,3,0,5,1,19,17,good
62,2,3,0,0,0,4,1,20,1,good
175,2,4,9,1,0,2,1,20,54,bad
92,1,4,1,0,0,0,1,19,65,bad
34,2,3,1,0,0,0,1,25,1,bad
26,2,3,0,0,0,0,1,17,1,bad
75,4,5,1,0,1,1,1,19,17,bad
32,2,3,0,0,0,0,0,24,1,bad
239,1,4,6,1,0,0,1,13,202,good
51,3,4,0,0,0,0,1,21,22,bad
92,1,4,1,0,0,0,1,19,65,bad
30,2,3,2,0,0,0,1,21,1,bad
76,3,4,0,0,0,2,1,16,7,good
44,2,5,0,0,0,0,1,17,19,good
92,2,3,1,1,0,3,1,15,6,good
54,1,6,0,0,0,0,1,14,32,bad
468,4,5,14,2,0,7,1,19,26,good
96,3,4,0,0,0,0,1,23,65,bad
173,2,7,3,4,0,1,1,15,72,good
70,2,3,0,0,0,4,1,20,1,good
75,3,5,0,5,0,0,1,19,47,good
61,3,6,0,0,0,0,1,17,36,good
51,2,3,0,0,0,2,1,15,6,good
329,2,3,2,3,0,7,1,15,5,good
397,5,3,1,0,0,4,1,20,1,good
34,2,3,0,0,0,0,1,25,1,bad
37,2,3,2,0,0,0,1,28,1,bad
130,1,8,3,0,0,0,1,10,112,good
34,2,3,1,0,0,0,1,25,1,bad
149,2,8,7,0,0,0,1,16,114,good
19,1,2,0,0,0,0,1,11,0,bad
91,2,3,1,0,0,3,1,15,6,good
63,2,3,0,0,0,4,1,20,1,good
44,2,5,0,0,0,0,1,16,20,bad
38,2,3,0,0,0,0,1,29,1,bad
116,2,6,0,2,0,4,1,16,59,good
216,2,4,2,0,0,8,1,12,14,good
72,2,3,1,0,0,1,1,15,9,good
36,1,4,0,0,0,0,1,10,18,good
56,6,5,0,0,0,0,1,19,29,bad
484,6,3,0,0,0,4,1,20,1,good
294,3,7,13,2,1,3,1,19,2,good
43,2,3,0,0,0,1,1,15,6,good
327,2,4,7,4,0,8,1,16,35,good
92,2,5,8,0,0,0,1,18,66,good
34,2,3,0,0,0,1,1,14,1,good
51,3,4,0,0,0,0,1,21,22,bad
20,1,2,1,0,0,0,1,12,0,bad
40,2,2,2,0,0,0,1,32,0,bad
43,3,3,0,0,0,0,1,34,1,bad
31,2,3,0,0,0,0,0,23,1,bad
41,1,5,0,0,0,0,1,11,22,good
108,2,5,1,0,0,0,1,19,81,bad
84,3,2,1,0,0,0,1,76,0,bad
84,2,9,0,0,0,1,1,20,50,good
27,2,3,0,0,0,0,1,10,9,bad
92,1,4,1,0,0,0,1,19,65,bad
92,1,4,1,0,0,0,1,19,65,bad
53,2,3,1,0,0,2,1,15,6,good
77,3,4,0,0,0,2,1,16,7,good
34,2,3,1,0,0,0,1,25,1,bad
27,2,3,0,0,0,0,1,14,5,bad
190,2,3,0,0,0,2,1,20,1,good
56,2,4,1,0,0,0,1,32,16,bad
362,8,5,1,8,0,9,1,19,18,good
65,2,3,0,0,0,4,1,20,1,good
58,3,4,0,2,0,0,1,17,33,good
20,1,3,0,0,0,0,1,5,7,bad
103,2,9,0,0,0,0,1,15,80,good
217,2,3,1,0,0,12,1,12,12,good
103,2,7,5,0,0,0,1,16,79,good
57,1,4,2,0,0,0,1,10,39,good
251,7,6,0,4,0,5,1,19,17,good
220,2,5,1,0,0,0,1,19,193,bad
27,2,3,0,0,0,0,1,18,1,bad
120,4,5,0,1,0,0,1,23,89,bad
44,2,5,0,0,0,0,1,17,19,good
69,2,4,0,0,0,0,1,18,20,good
72,2,7,0,0,0,0,1,15,10,good
73,1,7,1,0,0,0,1,10,55,good
63,3,3,1,0,0,0,1,43,12,bad
85,3,3,1,0,0,0,1,76,1,bad
55,1,6,2,0,0,0,1,10,37,good
102,2,3,0,4,0,1,1,31,1,bad
49,2,3,0,0,0,2,1,14,6,good
74,3,3,0,0,0,2,1,16,6,good
72,2,4,3,0,0,0,1,14,50,good
96,3,4,0,0,0,0,1,23,65,bad
83,3,3,0,0,0,0,1,74,1,bad
449,4,3,0,1,0,5,1,21,4,good
117,2,3,0,0,0,4,1,20,1,good
38,2,3,1,0,0,0,1,29,1,bad
65,1,3,3,0,0,0,1,15,42,good
44,2,5,0,0,0,0,1,17,19,good
30,1,3,0,0,0,0,1,11,11,bad
44,2,5,0,0,0,0,1,17,19,good
43,3,3,0,0,0,0,1,34,1,bad
114,3,4,1,0,0,2,1,27,43,good
62,3,3,1,0,0,0,1,43,11,bad
74,3,3,0,0,0,2,1,16,6,good
96,3,4,0,0,0,0,1,23,65,bad
31,2,3,1,0,0,0,1,22,1,bad
165,4,4,2,3,0,4,1,13,10,good
71,1,4,1,0,0,0,1,11,52,bad
54,3,3,2,0,0,0,1,45,1,bad
129,4,5,1,0,1,0,1,19,82,bad
147,2,3,0,0,0,4,1,20,1,good
44,2,5,0,1,0,0,1,17,19,good
88,1,4,0,2,0,4,1,18,5,good
84,3,2,1,0,0,0,1,76,0,bad
42,2,4,0,0,0,0,1,15,19,good
48,2,3,0,0,0,1,1,15,6,good
267,6,5,1,3,0,6,1,19,15,good
34,2,3,1,0,0,0,1,25,1,bad
72,2,6,3,0,0,0,1,15,49,good
80,2,5,1,0,0,0,1,11,61,bad
48,2,5,0,0,0,0,1,16,24,bad
44,2,5,0,0,0,0,1,17,19,good
43,2,3,1,0,0,1,1,15,6,good
387,5,3,1,0,0,4,1,20,1,good
127,2,8,3,0,0,0,1,10,109,good
44,2,3,0,0,0,0,1,35,1,bad
136,2,7,7,0,0,0,1,16,111,good
75,3,3,0,0,0,2,1,16,6,good
43,2,2,0,0,0,0,0,36,0,bad
42,2,3,1,0,0,0,1,33,1,bad
36,2,3,1,0,0,0,1,27,1,bad
51,3,4,0,0,0,0,1,21,22,bad
26,1,3,0,0,0,0,1,17,1,good
27,2,3,0,0,0,0,1,18,1,good
36,1,4,1,0,0,0,1,10,18,good
33,2,3,1,0,0,0,1,24,1,bad
110,2,5,2,0,0,2,1,14,48,good
48,4,3,4,0,0,0,1,39,1,bad
73,2,6,0,0,0,0,1,15,49,good
448,4,5,14,2,0,6,1,19,26,good
84,3,2,1,0,0,0,1,76,0,bad
32,2,2,1,0,0,0,1,24,0,bad
26,2,3,0,0,0,0,1,17,1,bad
63,3,3,1,0,0,0,1,43,12,bad
39,2,3,1,0,0,0,1,30,1,bad
44,2,5,0,0,0,0,1,17,19,good
175,2,7,1,1,0,3,1,15,108,bad
52,2,5,0,0,0,1,1,16,22,good
78,2,7,1,0,0,1,1,17,48,good
348,5,4,3,1,0,8,1,19,26,good
92,1,4,1,0,0,0,1,19,65,bad
38,2,3,1,0,0,0,1,29,1,bad
94,4,3,1,2,0,0,1,76,10,bad
80,1,4,0,0,0,0,1,7,65,bad
26,1,3,0,0,0,0,1,10,8,bad
27,2,3,1,0,0,0,1,18,1,bad
54,1,3,0,0,0,2,1,15,7,good
50,1,4,1,0,0,0,1,13,29,bad
45,2,3,2,0,0,0,1,36,1,bad
34,2,3,0,0,0,0,1,25,1,bad
44,2,5,0,0,0,0,1,17,19,good
564,9,3,2,5,0,10,1,14,15,good
35,2,3,1,0,0,0,1,26,1,bad
38,2,3,1,0,0,0,1,29,1,bad
22,2,3,0,0,0,0,1,13,1,bad
83,3,4,0,1,0,2,1,16,11,good
44,2,5,0,0,0,0,1,17,19,good
208,8,8,0,1,0,5,1,17,15,good
19,1,3,0,0,0,0,0,11,1,bad
73,2,5,3,0,0,0,1,14,50,good
27,2,3,0,0,0,0,0,12,8,bad
78,2,7,1,0,0,1,1,17,48,good
47,1,3,0,0,0,1,1,10,12,good
43,3,3,0,0,0,0,1,34,1,bad
25,2,3,0,0,0,0,1,11,6,good
20,1,3,0,0,0,0,1,6,6,bad
27,1,3,0,0,0,0,1,6,13,bad
44,2,5,0,0,0,0,1,17,19,good
33,2,3,0,0,0,1,1,10,8,bad
34,2,3,1,0,0,0,1,25,1,bad
46,2,4,0,0,0,0,1,16,22,good
170,2,8,7,1,0,1,1,15,99,good
67,2,4,2,0,0,0,1,14,45,good
81,2,3,1,2,0,1,1,4,11,bad
80,1,4,0,0,0,0,1,7,65,bad
99,4,3,1,0,0,0,1,76,15,bad
74,2,3,0,0,0,1,1,16,6,good
43,2,3,0,0,0,1,1,15,6,good
173,3,8,6,4,0,1,1,16,85,good
23,1,3,1,0,0,0,1,14,1,bad
64,2,4,1,0,0,0,1,31,25,bad
107,4,5,0,0,0,0,1,23,76,bad
26,2,3,0,0,0,0,1,17,1,bad
93,1,5,1,0,0,0,1,19,66,bad
51,2,4,0,0,0,0,1,15,27,good
41,2,3,0,0,0,0,1,32,1,bad
165,2,3,0,0,0,4,1,20,1,good
114,1,8,3,0,0,0,1,10,96,good
69,2,6,0,0,0,0,0,16,34,bad
43,3,3,0,0,0,0,1,34,1,bad
74,2,6,0,0,0,0,1,17,49,good
55,2,7,0,0,0,0,1,10,37,good
40,3,5,0,0,0,0,1,15,17,bad
473,13,5,2,0,0,10,0,14,21,bad
43,3,3,0,0,0,0,1,34,1,bad
52,2,4,0,0,0,0,1,31,13,bad
65,2,3,0,0,0,4,1,20,1,good
84,3,2,1,0,0,0,1,76,0,bad
151,3,16,5,0,1,1,1,22,96,bad
44,2,5,1,0,0,0,1,17,19,good
51,4,5,0,0,0,0,1,24,19,bad
44,2,5,0,0,0,0,1,17,19,good
83,3,3,0,0,0,0,1,74,1,bad
96,3,4,0,0,0,0,1,23,65,bad
38,2,3,0,0,0,0,1,29,1,bad
54,2,5,0,1,0,1,1,17,15,good
23,1,4,0,0,0,0,1,12,3,bad
102,6,3,1,1,0,2,0,25,12,bad
85,3,3,1,0,0,0,1,76,1,bad
540,3,5,13,2,0,6,1,18,25,good
71,1,4,1,0,0,0,1,11,52,bad
448,4,5,14,2,0,6,1,19,26,good
39,2,5,0,0,0,0,1,10,21,bad
82,3,4,0,1,0,2,1,16,11,good
292,7,5,1,4,0,7,1,19,14,good
123,3,3,0,2,0,1,1,16,1,good
43,2,3,0,0,0,0,1,34,1,bad
59,2,7,1,0,0,0,1,16,35,good
54,3,3,0,0,0,1,1,14,12,good
380,2,3,2,1,0,9,1,14,7,good
44,2,5,0,0,0,0,1,17,19,good
29,1,4,0,0,0,0,1,13,4,bad
77,2,6,2,0,0,0,1,16,53,good
122,4,7,0,0,0,3,1,14,16,good
44,2,5,1,0,0,0,1,17,19,good
88,3,2,0,0,0,0,1,80,0,bad
44,2,5,0,0,0,0,1,17,19,good
76,2,6,0,0,0,0,1,16,52,good
33,2,3,0,0,0,0,1,24,1,bad
75,3,3,0,0,0,2,1,16,6,good
31,2,3,0,0,0,0,1,22,1,bad
72,2,3,0,0,0,1,1,15,9,good
60,4,3,4,0,0,0,1,43,9,bad
148,3,8,2,0,0,1,1,16,64,good
